manufacturer,model,fuel,transmission,drive,size,type,state
,cayenne s,,,,,,
,silverado ltz z71,,,,,,
,savana 2500,,,,,,
,1500 classic slt crewcab,,,,,,
,gla,,,,,,
,journey se,,,,,,
,baja turbo,,,,,,
,expedition xlt 4x4,,,,,,
,cargo van tradesman,,,,,,
,sierra 1500 denali,,,,,,
,camry se 4dr sedan,,,,,,
,f150 lariat ecoboost 4wd,,,,,,
,cummins,,,,,,
,2500 laramie longhorn,,,,,,
,davidson,,,,,,
,eurovan gls,,,,,,
,300series,,,,,,
,1500 sport,,,,,,
,highlander hybrid limited,,,,,,
,macan,,,,,,
,cooper clubman,,,,,,
,2500 crew cab,,,,,,
,fx,,,,,,
